ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Industry,Gas_Type,Scale,F1970,F1971,F1972,F1973,F1974,F1975,F1976,F1977,F1978,F1979,F1980,F1981,F1982,F1983,F1984,F1985,F1986,F1987,F1988,F1989,F1990,F1991,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022,F2023,F2024,F2025,F2026,F2027,F2028,F2029,F2030
10408,Latin America and the Caribbean,,LACTMP,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",Agriculture,Carbon dioxide,Units,8.368801026,8.569186488,11.39517163,10.29595659,9.648949781,10.3053064,12.43862716,15.08883055,15.30117163,16.62319735,17.75781893,15.68207006,15.19660946,11.98021316,15.46989911,14.6316722,17.76339709,17.44989761,15.76913394,14.56824034,15.67205711,16.14933118,16.63286662,17.70445896,19.81679462,20.58651103,23.83615133,25.98076145,25.63404783,26.11883254,33.31181711,30.61555925,28.96945183,38.42152078,36.56995028,35.90687649,35.30905724,35.7196413,34.40557886,32.44773601,32.21929992,32.49295398,32.05842328,34.40659158,38.2683893,32.6063969,34.16249987,33.91293847,33.79889019,33.56527564,32.44786723,31.40483847,,,,,,,,,
10409,Latin America and the Caribbean,,LACTMP,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",Agriculture,Greenhouse gas,Units,533.7685265,540.5665021,558.2599289,572.5198869,591.1252095,610.9957996,641.6932318,664.7330885,658.5106624,668.2060642,695.3987643,703.2085805,707.4063112,703.5263451,722.3877694,726.835921,739.0344112,750.5995007,763.7035842,778.8086255,778.7561244,791.8200185,812.5008997,826.8742019,853.9552564,867.6464166,855.3228206,864.3124136,865.4623295,868.1914691,885.5819094,904.2971821,934.8170917,990.7728161,1013.81539,1026.126033,1034.35411,1042.034969,1050.627104,1052.464611,1065.503001,1078.774733,1076.799707,1097.411517,1111.79413,1116.153334,1130.633272,1135.631172,1131.92376,1142.983009,1166.055926,1195.002213,,,,,,,,,
10410,Latin America and the Caribbean,,LACTMP,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",Agriculture,Methane,Units,392.2593395,396.7469429,407.8320291,419.5020895,433.1955761,447.153533,468.4548484,481.6869177,476.9117176,481.1238861,500.2028018,507.458686,511.0426584,510.2764621,518.491203,520.8739502,527.7589997,535.1929224,546.2324275,558.1295655,556.7039681,568.3651772,583.1753667,592.0322945,608.6579,618.9206887,606.6794877,608.9669321,605.6233556,607.2004111,611.2629821,625.2540142,648.973921,677.9623833,698.1423955,707.9578162,712.4930907,711.0011188,722.167583,730.2225871,730.5525646,736.1886512,738.9297311,745.096661,748.3084943,756.1651599,760.7395505,761.8568744,761.7925557,767.5985904,784.4896669,805.4019929,,,,,,,,,
10411,Latin America and the Caribbean,,LACTMP,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",Agriculture,Nitrous oxide,Units,133.140386,135.2503727,139.0327281,142.7218408,148.2806836,153.5369601,160.7997563,167.9573403,166.2977731,170.4589808,177.4381436,180.0678244,181.1670433,181.2696698,188.4266673,191.3302986,193.5120144,197.9566807,201.7020227,206.1108197,206.3800992,207.3055101,212.6926663,217.1374484,225.4805618,228.1392169,224.8071815,229.36472,234.2049261,234.8722254,241.0071102,248.4276086,256.8737189,274.3889121,279.1030439,282.2613408,286.551962,295.3142086,294.0539419,289.7942876,302.7311365,310.0931276,305.8115527,317.9082644,325.2172466,327.3817775,335.7312218,339.8613589,336.3323139,341.8191428,349.1183914,358.1953813,,,,,,,,,
